PanjivaRecordID,hscode_6,LEB_flag,CITES_flag,WWF_HighRisk_flag,IUCN_RedList_flag
8245631,940360,0,0,0,0
8013503,940340,0,0,0,0
7929279,440929,0,0,0,0
7944511,442190,0,0,0,0
7947135,441900,0,0,0,0
7952383,441520,0,0,0,0
7970815,440929,0,0,0,0
7980415,940360,0,0,0,0
7996159,440929,0,0,0,0
8029311,442090,0,0,0,0
8029503,940350,0,0,0,0
8022207,441520,0,0,0,0
7929273,440929,0,0,0,0
7952377,441520,0,0,0,0
7947129,442090,0,0,0,0
8003961,440922,0,0,0,0
7998905,442010,0,0,0,0
7999097,442090,0,0,0,0
8013497,940330,0,0,0,0
8022201,441300,0,0,0,0
8029497,940350,0,0,0,0
8056761,440929,0,0,0,0
8004921,441400,0,0,0,0
8013500,940330,0,0,0,0
7929340,440929,0,0,0,0
7929276,440929,0,0,0,0
7947132,442090,0,0,0,0
7952380,441520,0,0,0,0
7996156,440929,0,0,0,0
8003964,440922,0,0,0,0
7998908,442090,0,0,0,0
8029500,940350,0,0,0,0
8022204,441400,0,0,0,0
8056764,440929,0,0,0,0
8095356,440799,0,0,0,0
7994931,440929,0,0,0,0
8003955,440922,0,0,0,0
8038643,442199,0,0,0,0
8029363,940190,0,0,0,0
8022259,442010,0,0,0,0
8029491,940340,0,0,0,0
8062067,440929,0,0,0,0
8013501,940340,0,0,0,0
7929277,440929,0,0,0,0
7952381,441520,0,0,0,0
7970813,441879,0,0,0,0
7980413,441400,0,0,0,0
7996157,440929,0,0,0,0
8029501,940350,0,0,0,0
8056765,440929,0,0,0,0
8095357,440799,0,0,0,0
7929269,440929,0,0,0,0
7952373,441520,0,0,0,0
7986549,441879,0,0,0,0
8003957,440922,0,0,0,0
7998901,441990,0,0,0,0
7999093,441990,0,0,0,0
8013493,940330,0,0,0,0
8038645,442199,0,0,0,0
8029493,940340,0,0,0,0
8062069,440922,0,0,0,0
8052341,940360,0,0,0,0
8269306,440799,0,0,0,0
7980410,441400,0,0,0,0
7929274,440929,0,0,0,0
7947130,442090,0,0,0,0
7944506,441300,0,0,0,0
7952378,441520,0,0,0,0
8003962,440922,0,0,0,0
7998906,442090,0,0,0,0
7999098,442090,0,0,0,0
8013498,940330,0,0,0,0
8029498,940350,0,0,0,0
8022202,441400,0,0,0,0
8056762,440929,0,0,0,0
8082874,440929,0,0,0,0
7929271,440929,0,0,0,0
7952375,442190,0,0,0,0
7988727,440922,0,0,0,0
8003959,440922,0,0,0,0
7989111,440799,0,0,0,0
7998903,442010,0,0,0,0
7999095,442010,0,0,0,0
8013495,940330,0,0,0,0
8022199,441300,0,0,0,0
8029495,940340,0,0,0,0
8004919,441400,0,0,0,0
7929270,440929,0,0,0,0
7952374,442190,0,0,0,0
8003958,440922,0,0,0,0
7989110,440799,0,0,0,0
7998902,442010,0,0,0,0
7999094,442010,0,0,0,0
8013494,940330,0,0,0,0
8029494,940340,0,0,0,0
8052342,940360,0,0,0,0
8203830,440799,0,0,0,0
7994924,440929,0,0,0,0
8052332,940360,0,0,0,0
7935084,440799,0,0,0,0
7986988,440929,0,0,0,0
7975916,441232,0,0,0,0
8003948,440922,0,0,0,0
8006316,441900,0,0,0,0
8037996,441990,0,0,0,0
8038252,440922,0,0,0,0
8029548,940360,0,0,0,0
8029356,940161,0,0,0,0
8095340,441300,0,0,0,0
8113068,440922,0,0,0,0
8455401,440910,0,0,0,0
7975913,441231,0,0,0,0
7986985,440929,0,0,0,0
7994921,440799,0,0,0,0
8003945,440922,0,0,0,0
8006313,441900,0,0,0,0
8002025,440922,0,0,0,0
8029545,940360,0,0,0,0
8029353,940161,0,0,0,0
8022249,442010,0,0,0,0
8052329,940350,0,0,0,0
8052201,442090,0,0,0,0
7929268,440929,0,0,0,0
7952372,441520,0,0,0,0
8003956,440922,0,0,0,0
8013492,940330,0,0,0,0
8038644,442199,0,0,0,0
8022260,442190,0,0,0,0
8029492,940340,0,0,0,0
8052340,940360,0,0,0,0
8062068,440922,0,0,0,0
8180724,440929,0,0,0,0
8104987,940340,0,0,0,0
7999003,442090,0,0,0,0
7975899,441231,0,0,0,0
7994203,440922,0,0,0,0
8029531,940360,0,0,0,0
8022235,441820,0,0,0,0
8135963,440929,0,0,0,0
8046363,442010,0,0,0,0
8052187,442090,0,0,0,0
8178907,440929,0,0,0,0
8245606,940350,0,0,0,0
8052326,940350,0,0,0,0
8052390,940390,0,0,0,0
8172006,440910,0,0,0,0
7979238,442190,0,0,0,0
8006310,441900,0,0,0,0
7975910,441231,0,0,0,0
7994918,440929,0,0,0,0
7998758,441234,0,0,0,0
8029542,940360,0,0,0,0
8029350,940161,0,0,0,0
8038502,440929,0,0,0,0
8022246,441820,0,0,0,0
8103910,440929,0,0,0,0
8081894,440929,0,0,0,0
8052198,442090,0,0,0,0
7944610,440799,0,0,0,0
7975906,441231,0,0,0,0
7980322,441879,0,0,0,0
7979234,442190,0,0,0,0
8029538,940360,0,0,0,0
8029346,940161,0,0,0,0
8022242,441820,0,0,0,0
8061474,440929,0,0,0,0
8198114,440799,0,0,0,0
