hscode_6,CountryOfOrigin
440110,ALB;KHM;SEN;THA
440121,ALB;KHM;SEN;THA
440122,ALB;KHM;SEN;THA
440131,ALB;KHM;FJI;SEN;THA
440139,ALB;KHM;SEN;THA
440210,ALB;KHM;SEN
440290,ALB;KHM;SEN;VNM
440310,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440320,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440341,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440349,ALB;BLR;BLZ;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MDG;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440391,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440392,ALB;BLR;BRA;BOL;KHM;CMR;CRI;CIV;HRV;ECU;GNQ;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440399,ALB;BLR;BRA;BOL;KHM;CMR;COL;CRI;CIV;HRV;ECU;GNQ;FJI;GAB;GMB;GHA;GTM;HND;IDN;LAO;MYS;MOZ;MMR;NIC;NGA;PAN;PER;LKA;SEN;THA;UKR;VNM
440410,ALB;BLR;FJI;LAO;NGA;SEN;THA
440420,ALB;BLR;FJI;LAO;NGA;SEN;THA
440500,SEN
440610,SEN;THA
440690,SEN;THA
440710,BLR;KHM;CIV;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440721,BLR;BRA;KHM;CIV;FJI;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440722,BLR;KHM;CIV;FJI;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440725,BLR;KHM;CIV;FJI;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440726,BLR;KHM;CIV;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440727,BLR;KHM;CIV;FJI;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440728,BLR;KHM;CIV;FJI;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440729,BLR;BLZ;BRA;KHM;CIV;FJI;GAB;GHA;GTM;IDN;LAO;MDG;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440791,BLR;KHM;CIV;HRV;FJI;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440792,BLR;KHM;CIV;FJI;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440793,BLR;KHM;CIV;FJI;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
440794,BLR;KHM;CIV;FJI;GAB;GTM;IDN;LAO;NIC;NGA;PAN;LKA;SEN;THA;UKR;VNM
